iter	Passed	Remaining
1424	4395	304051
1425	4398	304030
1426	4401	304050
1427	4404	304028
1428	4407	304006
1429	4410	303987
1430	4412	303968
1431	4416	303978
1432	4419	304007
1433	4422	304003
1434	4425	303991
1435	4428	303993
1436	4432	303996
1437	4435	304001
1438	4438	304000
1439	4441	303992
1440	4444	303983
1441	4447	303986
1442	4450	303976
1443	4453	303965
1444	4456	303954
1445	4459	303955
1446	4462	303947
1447	4465	303945
1448	4468	303932
1449	4471	303915
1450	4474	303907
1451	4477	303891
1452	4480	303877
1453	4483	303865
1454	4486	303860
1455	4489	303849
1456	4492	303836
1457	4495	303818
1458	4498	303803
1459	4500	303780
1460	4503	303753
1461	4506	303745
1462	4509	303717
1463	4512	303689
1464	4514	303659
1465	4517	303631
1466	4520	303617
1467	4523	303621
1468	4526	303607
1469	4529	303577
1470	4531	303557
1471	4534	303541
1472	4537	303524
1473	4540	303521
1474	4543	303507
1475	4546	303488
1476	4549	303474
1477	4553	303546
1478	4557	303580
1479	4560	303567
1480	4563	303543
1481	4566	303540
1482	4568	303517
1483	4571	303496
1484	4574	303484
1485	4577	303464
1486	4580	303468
1487	4583	303470
1488	4586	303471
1489	4590	303488
1490	4593	303483
1491	4596	303474
1492	4599	303485
1493	4602	303467
1494	4605	303454
1495	4608	303462
1496	4611	303445
1497	4614	303443
1498	4617	303438
1499	4620	303431
1500	4623	303401
1501	4626	303415
1502	4630	303430
1503	4633	303417
1504	4636	303405
1505	4639	303408
1506	4642	303398
1507	4644	303366
1508	4647	303367
1509	4650	303346
1510	4653	303323
1511	4656	303320
1512	4659	303305
1513	4662	303298
1514	4665	303279
1515	4668	303296
1516	4671	303285
1517	4674	303260
1518	4677	303232
1519	4679	303214
1520	4682	303194
1521	4685	303171
1522	4688	303178
1523	4692	303190
1524	4695	303181
1525	4697	303165
1526	4701	303167
1527	4704	303163
1528	4707	303149
1529	4709	303129
1530	4712	303121
1531	4716	303122
1532	4719	303139
1533	4722	303128
1534	4725	303110
1535	4728	303102
1536	4731	303090
1537	4734	303087
1538	4737	303086
1539	4740	303083
1540	4743	303069
1541	4746	303052
1542	4749	303050
1543	4752	303047
1544	4755	303034
1545	4758	303025
1546	4761	303022
1547	4764	303027
1548	4767	303022
1549	4770	303004
1550	4773	302981
1551	4776	302974
1552	4779	302982
1553	4782	302966
1554	4785	302972
1555	4788	302951
1556	4791	302926
1557	4794	302915
1558	4797	302920
1559	4800	302908
1560	4803	302889
1561	4806	302885
1562	4808	302862
1563	4811	302846
1564	4814	302845
1565	4817	302823
1566	4820	302815
1567	4823	302815
1568	4827	302871
1569	4830	302870
1570	4833	302865
1571	4836	302850
1572	4840	302871
1573	4843	302861
1574	4846	302846
1575	4849	302836
1576	4851	302817
1577	4854	302802
1578	4857	302783
1579	4860	302770
1580	4863	302760
1581	4866	302749
1582	4869	302730
1583	4872	302729
1584	4875	302725
1585	4878	302697
1586	4881	302683
1587	4883	302664
1588	4886	302655
1589	4889	302635
1590	4892	302628
1591	4895	302581
1592	4897	302563
1593	4900	302564
1594	4903	302553
1595	4907	302569
1596	4910	302580
1597	4913	302585
1598	4921	302843
1599	4923	302820
1600	4926	302785
1601	4929	302781
1602	4932	302757
1603	4934	302731
1604	4938	302733
1605	4940	302710
1606	4944	302711
1607	4947	302702
1608	4950	302707
1609	4953	302701
1610	4956	302700
1611	4960	302749
1612	4963	302771
1613	4966	302758
1614	4969	302752
1615	4972	302745
1616	4975	302750
1617	4978	302736
1618	4981	302721
1619	4984	302714
1620	4987	302694
1621	4990	302689
1622	4993	302671
1623	4996	302662
1624	4999	302649
1625	5001	302621
1626	5004	302609
1627	5007	302594
1628	5010	302575
1629	5013	302548
1630	5016	302533
1631	5018	302514
1632	5021	302510
1633	5024	302489
1634	5027	302464
1635	5030	302447
1636	5033	302432
1637	5036	302427
1638	5039	302410
1639	5041	302394
1640	5045	302399
1641	5048	302392
1642	5051	302382
1643	5054	302375
1644	5057	302364
1645	5060	302351
1646	5063	302360
1647	5066	302365
1648	5069	302351
1649	5072	302340
1650	5075	302334
1651	5078	302335
1652	5081	302337
1653	5084	302330
1654	5087	302320
1655	5090	302317
1656	5093	302301
1657	5096	302305
1658	5100	302343
1659	5103	302355
1660	5106	302356
1661	5109	302346
1662	5112	302341
1663	5116	302352
1664	5119	302336
1665	5121	302319
1666	5124	302312
1667	5128	302337
1668	5131	302327
1669	5134	302313
1670	5137	302292
1671	5139	302270
1672	5144	302339
1673	5147	302325
1674	5150	302319
1675	5153	302312
1676	5156	302322
1677	5159	302312
1678	5162	302317
1679	5165	302299
1680	5168	302289
1681	5171	302299
1682	5174	302307
1683	5177	302300
1684	5181	302300
1685	5183	302286
1686	5186	302272
